DATE_BEGIN;DATE_END;NAME
2011-01-01 00:00:00.000;2011-01-02 00:00:00.000;JOUR_DE_L_AN
2011-04-24 00:00:00.000;2011-04-25 00:00:00.000;PAQUES
2011-04-25 00:00:00.000;2011-04-26 00:00:00.000;LUNDI_DE_PAQUES
2011-05-01 00:00:00.000;2011-05-02 00:00:00.000;FETE_DU_TRAVAIL
2011-05-08 00:00:00.000;2011-05-09 00:00:00.000;8_MAI
2011-06-02 00:00:00.000;2011-06-03 00:00:00.000;ASCENSION
2011-06-13 00:00:00.000;2011-06-14 00:00:00.000;LUNDI_DE_PENTCOTE
2011-07-14 00:00:00.000;2011-07-15 00:00:00.000;FETE_NATIONALE
2011-08-15 00:00:00.000;2011-08-16 00:00:00.000;15_AOUT
2011-11-01 00:00:00.000;2011-11-02 00:00:00.000;TOUSSAINT
2011-11-11 00:00:00.000;2011-11-12 00:00:00.000;11_NOVEMBRE
2011-12-25 00:00:00.000;2011-12-26 00:00:00.000;NOEL
2012-01-01 00:00:00.000;2012-01-02 00:00:00.000;JOUR_DE_L_AN
2012-04-08 00:00:00.000;2012-04-09 00:00:00.000;PAQUES
2012-04-09 00:00:00.000;2012-04-10 00:00:00.000;LUNDI_DE_PAQUES
2012-05-01 00:00:00.000;2012-05-02 00:00:00.000;FETE_DU_TRAVAIL
2012-05-08 00:00:00.000;2012-05-09 00:00:00.000;8_MAI
2012-05-17 00:00:00.000;2012-05-18 00:00:00.000;ASCENSION
2012-05-28 00:00:00.000;2012-05-29 00:00:00.000;LUNDI_DE_PENTCOTE
2012-07-14 00:00:00.000;2012-07-15 00:00:00.000;FETE_NATIONALE
2012-08-15 00:00:00.000;2012-08-16 00:00:00.000;15_AOUT
2012-11-01 00:00:00.000;2012-11-02 00:00:00.000;TOUSSAINT
2012-11-11 00:00:00.000;2012-11-12 00:00:00.000;11_NOVEMBRE
2012-12-25 00:00:00.000;2012-12-26 00:00:00.000;NOEL
2013-01-01 00:00:00.000;2013-01-02 00:00:00.000;JOUR_DE_L_AN
2013-03-31 00:00:00.000;2013-04-01 00:00:00.000;PAQUES
2013-04-01 00:00:00.000;2013-04-02 00:00:00.000;LUNDI_DE_PAQUES
2013-05-01 00:00:00.000;2013-05-02 00:00:00.000;FETE_DU_TRAVAIL
2013-05-08 00:00:00.000;2013-05-09 00:00:00.000;8_MAI
2013-05-09 00:00:00.000;2013-05-10 00:00:00.000;ASCENSION
2013-05-20 00:00:00.000;2013-05-21 00:00:00.000;LUNDI_DE_PENTCOTE
2013-07-14 00:00:00.000;2013-07-15 00:00:00.000;FETE_NATIONALE
2013-08-15 00:00:00.000;2013-08-16 00:00:00.000;15_AOUT
2013-11-01 00:00:00.000;2013-11-02 00:00:00.000;TOUSSAINT
2013-11-11 00:00:00.000;2013-11-12 00:00:00.000;11_NOVEMBRE
2013-12-25 00:00:00.000;2013-12-26 00:00:00.000;NOEL
